User	Recall_up	APLT_up
000883382802f2d95a3dd545bb953882	1.0	0.5867906268141955
000a1016fda6008d1edbba720ca00851	1.0	0.7980384748393838
000efb30c5236d7437c3cdf4bf3e4dc7	1.0	0.8927416402523272
0011e1a9112b3d798702ef5b20bbf35b	1.0	0.8912931164543414
0019de4561419b7543238e0979f2f33e	1.0	0.597009487326329
00204424763e8233c5f53f0729f2304f	1.0	0.7947976892752975
00214d8b0a020837cccf5f41eb563037	1.0	0.5686046999776639
00238d8a4c276c47f5d5e242f54a8f28	1.0	0.5747377236922913
002a023d3de233b4bd3ec4fc3e9c581a	1.0	0.7452409388469606
002e063d40ae0107a59d8f9c1aa7a423	1.0	0.46526015495740436
0031be80b3fe7a295cb98af400bcc583	1.0	0.54615798497815
004470054c60c8961814f487370cc386	1.0	0.5803775158966072
0050886c41bd26ff4bf7bc47b3aa0b84	1.0	0.5900811818047282
005238c5743d61b58e49d5da089e43df	1.0	0.5096298913454225
005a572f0bfe510fa796e6eadc6a2eb4	1.0	0.7567114213240435
005f902ce947f147fbb880420553d52e	1.0	0.567551587438742
00608f34a76da8ba3ed37b25f263adf4	1.0	0.5542565436122083
00624f09513d2322b41cdbcb73853b6c	1.0	0.8543076476650635
00678bcab8da79ce5720200a3c2e4e7f	1.0	0.4867921686967133
006beedd060f70067eac5540b9c375bb	1.0	0.7126213422045213
006c8ccc69f7b8bab157603605ae5ef9	1.0	0.6642765325973833
006f552534b15a7358a125f7505e0eea	1.0	0.7740342965588842
00735b5ea2c10159ae8c571a4a10fa88	1.0	0.7485203614991712
0077175036682322b87cf93f6bdbd30f	1.0	0.7342364014137059
007d939b748568b27d1ec164e12d4b8a	1.0	0.46524779710222014
0088ac052921fbdad6145c29322f9144	1.0	0.7514332030877463
009033078efdad45c1eceeb92d159237	1.0	0.5789518679018754
009235f414f42cfd0f76282f6aefe6c1	1.0	0.49678227589597085
00925084a0dc0aad9ac93163a7f4bfe9	1.0	0.666134070580694
0094c87e3b8c40fbbf7fe6e796020648	1.0	0.5567626695831214
00982d9fbae61a3a96654e21dbc74999	1.0	0.6277338580013633
009a47e49c0dc6e84d1c5e0eb4cdf7f6	1.0	0.7309231805271535
009abcb92443d0c048847ed0b8d2ecf0	1.0	0.42154581194084806
00a55fde304f3d845550b8675cb28f2c	1.0	0.4248872280533726
00aa49f5edd7656ed6c52eb97bddfd31	1.0	0.08930720972168846
00aabc1cf5b62cff6f5274a593c96b4e	1.0	0.7316754511666872
00ab40b465c14ed05e60496d6c232bc4	1.0	0.982969056706337
00af7569ab6ee719f3b940dfda65bb3f	1.0	0.8176317591900986
00b46da4f0fb73bf00f09d8a655d209a	1.0	0.6172316714592198
00b5b129cc3cfa6511418cce1cec54ab	1.0	0.6665759152261618
00b81fa8e2de286c6cfec8559f3f7b21	1.0	0.4054562682309267
00c3abb0d9ae9344ce03abbefb58bb72	1.0	0.489142239434726
00c408fd5137c7ee782a7304b4a93b2c	1.0	0.9646802913555909
00c47066c4168423c9ecb13fc2fc1eca	1.0	0.18840122883324986
00c484920796bba4529e9c1514a2f57f	1.0	0.7068501097387286
00c4d678380bb932ed552d1a866d8f9a	1.0	0.8958997777577351
00c7135b2305f50cb384a85785fb4fbf	1.0	0.6418995098888318
00d635f2b62714abbbe824aef229db79	1.0	0.281612492747862
00d6b283f77415fbb08db4c8c65c016d	1.0	0.6859063381058602
00e25a76a0ad690cc10a7ab7b57fa4a9	1.0	0.7680398163337128
00efe9bf7f110572763cac91479965c5	1.0	0.6923052898206736
00f20eab8cd5f651040e5359c9c3ee62	1.0	0.6997172299740693
00f401f4d493eea391011082de03de07	1.0	0.6738964669748136
00f430253f528f841dc91aa3f9498457	1.0	0.5953360586294313
00f70d68cbeb3332407069bf801213f7	1.0	0.8498048138705696
00f7a95d3c427c9df924cf69cc7da840	1.0	0.590423970765885
00f8c4836a695ebda1ccde72349949eb	1.0	0.3171447003940885
00fd7c2c0c007fdb51c8c07040319aa3	1.0	0.8613775997293002
